name,given_name,surname,pseudonym,country,sex,victims_proven,victims_suspected,years_active,active_from,active_to,country_lat,country_long
Abdallah al-Hubal,Abdallah,al-Hubal,,Yemen,male,12.0,,1990–1998,1990.0,1998.0,15.552727,48.516388
Abdelali Amer,Abdelali,Amer,Boussemma,Morocco,male,14.0,,2004–2005,2004.0,2005.0,31.791702,-7.092619999999999
Abraão José Bueno,Abraão,José Bueno,,Brazil,male,4.0,,2005,2005.0,2005.0,-14.235004,-51.92528
Abul Djabar,Abul,Djabar,,Afghanistan,male,65.0,300,1960s–1970,,1970.0,33.93911,67.709953
Adnan Çolak,Adnan,Çolak,Monster von Artvin,Turkey,male,11.0,,1992–1995,1992.0,1995.0,38.963745,35.243322
Adolf Seefeldt,Adolf,Seefeldt,"Sandmann, Onkel Tick Tack",Germany,male,12.0,,1895–1935,1895.0,1935.0,51.165691,10.451526
Adolfo de Jesús Constanzo,Adolfo,de Jesús Constanzo,,Mexico,male,16.0,16+,1986–1989,1986.0,1989.0,23.634501,-102.552784
Ahmad Suradji,Ahmad,Suradji,"Nasib Kelewang, Datuk Maringgi",Indonesia,male,42.0,,1986–1997,1986.0,1997.0,-0.789275,113.921327
Aileen Carol Wuornos,Aileen,Carol Wuornos,,United States,female,7.0,,1989–1990,1989.0,1990.0,37.09024,-95.712891
Aino Nykopp-Koski,Aino,Nykopp-Koski,,Finland,female,5.0,,2004–2009,2004.0,2009.0,61.92410999999999,25.7481511
Albert Edwards Burrows,Albert,Edwards Burrows,,United Kingdom,male,4.0,,1920–1923,1920.0,1923.0,55.378051,-3.435973
Albert Fish,Albert,Fish,,United States,male,3.0,16,1910–1934,1910.0,1934.0,37.09024,-95.712891
Albert Henry DeSalvo,Albert,Henry DeSalvo,The Boston Strangler,United States,male,13.0,,1962–1964,1962.0,1964.0,37.09024,-95.712891
Alexander Jurjewitsch Pitschuschkin,Alexander,Jurjewitsch Pitschuschkin,"Schachbrettmörder, Der Irre vom Bitza-Park",Russia,male,48.0,63,1992–2006,1992.0,2006.0,61.52401,105.318756
Alexander Nikolajewitsch Spessiwzew,Alexander,Nikolajewitsch Spessiwzew,"Sibirischer Tiger, Sascha",Russia,male,19.0,,1991–1996,1991.0,1996.0,61.52401,105.318756
Alexander Pearce,Alexander,Pearce,,Australia,male,4.0,,1822–1823,1822.0,1823.0,-25.274398,133.775136
Alfred Engleder,Alfred,Engleder,Bestie von Sierning,Austria,male,2.0,,1951–1957,1951.0,1957.0,47.516231,14.550072
Allan Legere,Allan,Legere,Monster of the Miramichi,Canada,male,5.0,6,1989–1991,1989.0,1991.0,56.130366,-106.346771
Allen Leroy Anderson,Allen,Leroy Anderson,,United States,male,8.0,8+,1976,1976.0,1976.0,37.09024,-95.712891
Altemio Sanchez,Altemio,Sanchez,Bike Path Rapist,United States,male,3.0,,1975–2008,1975.0,2008.0,37.09024,-95.712891
Alton Coleman,Alton,Coleman,,United States,male,8.0,,1984,1984.0,1984.0,37.09024,-95.712891
Amelia Elizabeth Dyer,Amelia,Elizabeth Dyer,The Reading Baby Farmer,United Kingdom,female,6.0,100+,1880–1897,1880.0,1897.0,55.378051,-3.435973
Amy Archer-Gilligan,Amy,Archer-Gilligan,,United States,female,1.0,48,1910–1917,1910.0,1917.0,37.09024,-95.712891
Anatoli Jemeljanowitsch Sliwko,Anatoli,Jemeljanowitsch Sliwko,,Sowjet Union,male,7.0,,1964–1985,1964.0,1985.0,,
Anatolij Onoprijenko,Anatolij,Onoprijenko,Terminator von Tschernobyl,,male,52.0,,1989–1996,1989.0,1996.0,36.524606,-95.0294497
András Pándy,András,Pándy,Father Bluebeard,Belgium,male,6.0,19,1986–1990,1986.0,1990.0,50.503887,4.469936
Andre Alexander,Andre,Alexander,,United States,male,4.0,,1978–1980,1978.0,1980.0,37.09024,-95.712891
André Luiz Cassimiro,André,Luiz Cassimiro,Würger von Juiz de Fora,Brazil,male,5.0,,?–1996,,1996.0,-14.235004,-51.92528
Andreas Bichel,Andreas,Bichel,,Germany,male,5.0,,1806–1808,1806.0,1808.0,51.165691,10.451526
Andrei Romanowitsch Tschikatilo,Andrei,Romanowitsch Tschikatilo,Der Ripper von Rostow,Sowjet Union,male,53.0,56,1978–1990,1978.0,1990.0,,
Andrew Phillip Cunanan,Andrew,Phillip Cunanan,,United States,male,5.0,,1997,1997.0,1997.0,37.09024,-95.712891
Andrew Urdiales,Andrew,Urdiales,,United States,male,8.0,,1986–1996,1986.0,1996.0,37.09024,-95.712891
Angel Maturino Resendez,Angel,Maturino Resendez,The Railroad Killer,United States,male,9.0,24,1997–1999,1997.0,1999.0,37.09024,-95.712891
Angela Jane Johnson,Angela,Jane Johnson,,United States,female,5.0,,1993,1993.0,1993.0,37.09024,-95.712891
Angelo Colalillo,Angelo,Colalillo,,Canada,male,3.0,,1993–2002,1993.0,2002.0,56.130366,-106.346771
Anjette Donovan Lyles,Anjette,Donovan Lyles,,United States,female,4.0,,1952–1958,1952.0,1958.0,37.09024,-95.712891
Anna Cunningham,Anna,Cunningham,,United States,female,5.0,,1918–1922,1918.0,1922.0,37.09024,-95.712891
Anna Margaretha Zwanziger,Anna,Margaretha Zwanziger,,Germany,female,3.0,,1808–1809,1808.0,1809.0,51.165691,10.451526
Anna Marie Hahn,Anna,Marie Hahn,"Arsenic Anna, Blonde Borgia",United States,female,4.0,5,1932–1937,1932.0,1937.0,37.09024,-95.712891
Anthony Balaam,Anthony,Balaam,The Trenton Stangler,United States,male,4.0,,1994–1995,1994.0,1995.0,37.09024,-95.712891
Anthony John Hardy,Anthony,John Hardy,The Camden Ripper,United Kingdom,male,3.0,5,2000–2002,2000.0,2002.0,55.378051,-3.435973
Anthony Sowell,Anthony,Sowell,The Imperial Avenue Murderer,United States,male,11.0,,2007–2009,2007.0,2009.0,37.09024,-95.712891
Antoinette Scieri,Antoinette,Scieri,,France,female,12.0,,1924–1926,1924.0,1926.0,46.227638,2.213749
Antone Charles Costa,Antone,Charles Costa,"Cape Cod Vampire, Provincetown Vampire",United States,male,4.0,,1966–1969[136],1966.0,1966.0,37.09024,-95.712891
António Luís Costa,António,Luís Costa,,Portugal,male,3.0,,2005–2006,2005.0,2006.0,39.39987199999999,-8.224454
Antonis Daglis,Antonis,Daglis,The Athens Ripper,Greece,male,3.0,,1992–1995,1992.0,1995.0,39.074208,21.824312
Antti Olavi Taskinen,Antti,Olavi Taskinen,,Finland,male,3.0,,1996–2005,1996.0,2005.0,61.92410999999999,25.7481511
Arnfinn Nesset,Arnfinn,Nesset,,Norway,male,22.0,27,1977–1981,1977.0,1981.0,60.47202399999999,8.468945999999999
Arthur Gary Bishop,Arthur,Gary Bishop,,United States,male,5.0,,1979–1983,1979.0,1983.0,37.09024,-95.712891
Arthur Gatter,Arthur,Gatter,Hammermörder von Frankfurt,Germany,male,8.0,,1990,1990.0,1990.0,51.165691,10.451526
Arthur John Shawcross,Arthur,John Shawcross,The Genesee River Killer,United States,male,13.0,,1972–1990,1972.0,1990.0,37.09024,-95.712891
Arwed Imiela,Arwed,Imiela,Blaubart von Fehmarn,Germany,male,4.0,,?–1973,,1973.0,51.165691,10.451526
Asanda Baninzi,Asanda,Baninzi,,South Africa,male,18.0,,2001,2001.0,2001.0,-30.559482,22.937506
Asghar-e Ghatel,Asghar-e,Ghatel,Asghar der Mörder,Iran,male,33.0,,1907–1933,1907.0,1933.0,32.427908,53.688046
Baekuni,Baekuni,,Babe,Indonesia,male,4.0,14,1993–2010,1993.0,2010.0,-0.789275,113.921327
Bai Baoshan,Bai,Baoshan,,China,male,15.0,,1980–1997,1980.0,1997.0,35.86166,104.195397
Béla Kiss,Béla,Kiss,,Hungary,male,23.0,,1912–1916,1912.0,1916.0,47.162494,19.5033041
Belle Sorenson Gunness,Belle,Sorenson Gunness,"Lady Bluebeard, The Notorious Black Widow",United States,female,20.0,40,1900–1908,1900.0,1908.0,37.09024,-95.712891
Beltrán Dalay Cortes Carvajal,Beltrán,Dalay Cortes Carvajal,,Costa Rica,male,4.0,,1934–1938,1934.0,1938.0,9.748916999999999,-83.753428
Benjamin Tony Atkins,Benjamin,Tony Atkins,Woodward Corridor Killer,United States,male,11.0,,1991–1992,1991.0,1992.0,37.09024,-95.712891
Bernard Eugene Giles,Bernard,Eugene Giles,,United States,male,5.0,,1973,1973.0,1973.0,37.09024,-95.712891
Bernhard Prigan,Bernhard,Prigan,Der Würger; Autobahnmörder,Germany,male,4.0,,1947–1952,1947.0,1952.0,51.165691,10.451526
Bertha Gifford,Bertha,Gifford,,United States,female,3.0,17+,1909–1928,1909.0,1928.0,37.09024,-95.712891
Beverly Gail Allitt,Beverly,Gail Allitt,Angel of Death,United Kingdom,female,4.0,,1991,1991.0,1991.0,55.378051,-3.435973
Billy Lee Chadd,Billy,Lee Chadd,,United States,male,3.0,,1976–1984,1976.0,1984.0,37.09024,-95.712891
Billy Sunday Birt,Billy,Sunday Birt,,United States,male,3.0,3+,1972–1973,1972.0,1973.0,37.09024,-95.712891
Calvin Jackson,Calvin,Jackson,,United States,male,9.0,,1973–1974,1973.0,1974.0,37.09024,-95.712891
Carl Brandt,Carl,Brandt,,United States,male,3.0,6+,1971–2004,1971.0,2004.0,37.09024,-95.712891
Carl Eugene Watts,Carl,Eugene Watts,The Sunday Morning Slasher,United States,male,13.0,85,1974–1982,1974.0,1982.0,37.09024,-95.712891
Carl Großmann,Carl,Großmann,Die Bestie vom Schlesischen Bahnhof,Germany,male,3.0,23 – ca. 100,1918–1921,1918.0,1921.0,51.165691,10.451526
Carl Panzram,Carl,Panzram,,United States,male,4.0,18,1917–1929,1917.0,1929.0,37.09024,-95.712891
